source;source_name;target;target_name;relationship;type
nm0252961;Idris Elba;nm0935653;Ray Winstone;-1;undirected
nm0719637;Jeremy Renner;nm0836121;Michael Stuhlbarg;-1;undirected
nm3109964;Brian Tyree Henry;nm0938950;Benedict Wong;-1;undirected
nm0000474;Michael Keaton;nm0001570;Edward Norton;-1;undirected
nm0424060;Scarlett Johansson;nm0169806;Taika Waititi;-1;undirected
nm0169806;Taika Waititi;nm0005377;Sam Rockwell;-1;undirected
nm0000547;Alfred Molina;nm0000673;Marisa Tomei;-1;undirected
nm0000949;Cate Blanchett;nm1046097;Rachel McAdams;-1;undirected
nm0881631;Karl Urban;nm0757855;Zoe Saldana;-1;undirected
nm0881631;Karl Urban;nm0252961;Idris Elba;-1;undirected
